Team,Rating
Notre Dame,35.9
S Carolina,30.5
Mississippi,29.4
Ohio St,27.8
Oregon,25.7
Texas,24.5
Indiana,23.9
Penn St,23.1
Georgia,21.3
Alabama,21.0
Clemson,19.5
Miami,19.4
LSU,17.3
Louisville,16.8
BYU,16.0
Arizona St,15.7
Tennessee,15.2
Arkansas,15.1
Colorado,14.6
Iowa St,14.6
Tulane,14.3
Auburn,14.2
Florida,14.2
Minnesota,13.8
S Methodist,13.2
Michigan,12.8
Texas A&M,12.5
N Carolina,12.1
Kentucky,12.0
Rutgers,11.9
Miss State,11.0
Boise St,10.8
Baylor,10.8
Oklahoma,10.7
TX Christian,10.4
VA Tech,10.4
Illinois,10.1
Kansas St,10.0
Army,9.9
Vanderbilt,9.7
Iowa,9.5
GA Tech,8.9
Navy,8.6
Missouri,8.4
UCF,8.2
Wisconsin,7.7
USC,7.5
Bowling Grn,6.9
Nebraska,6.8
Memphis,6.6
Kansas,6.0
Marshall,5.9
UNLV,5.7
Utah,5.4
Texas St,5.2
UCLA,5.0
Texas Tech,4.7
Duke,4.7
NC State,4.6
Cincinnati,4.3
Virginia,4.0
W Virginia,3.4
Boston Col,3.3
Syracuse,2.8
California,2.7
N Illinois,2.2
Michigan St,2.1
Maryland,1.2
Pittsburgh,0.9
S Florida,0.6
Louisiana,0.5
Miami (OH),0.2
Washington,0.0
S Alabama,-0.2
Wake Forest,-0.3
James Mad,-2.0
Old Dominion,-3.2
GA Southern,-3.9
Jksnville St,-4.0
Ohio,-4.5
Northwestern,-4.7
Houston,-4.9
Oklahoma St,-4.9
Coastal Car,-5.4
Toledo,-5.5
Arizona,-6.8
San Jose St,-7.0
Sam Hous St,-7.2
Florida St,-7.4
Stanford,-7.6
Wash State,-8.0
Colorado St,-8.0
Troy,-9.6
Charlotte,-9.7
Fresno St,-10.0
Georgia St,-10.2
North Texas,-10.5
UTSA,-10.7
Connecticut,-10.8
Nevada,-11.3
W Michigan,-11.5
E Carolina,-12.1
W Kentucky,-12.1
LA Tech,-12.3
Liberty,-13.7
E Michigan,-13.8
App State,-13.9
New Mexico,-13.9
Air Force,-14.0
Rice,-14.4
UL Monroe,-14.9
Buffalo,-15.3
Fla Atlantic,-15.3
Oregon St,-15.9
Arkansas St,-16.4
San Diego St,-16.5
Wyoming,-16.6
Florida Intl,-16.8
Akron,-16.8
U Mass,-17.7
Purdue,-18.4
UAB,-18.8
Utah St,-20.6
Middle Tenn,-21.3
TX El Paso,-22.6
Ball St,-23.9
Temple,-24.8
Central Mich,-24.9
Hawaii,-25.4
Kennesaw St,-27.8
Tulsa,-28.2
N Mex State,-29.1
S Mississippi,-31.7
Kent St,-33.3
