Team,Rating
Indiana,38.5
Texas Tech,35.1
Ohio St,34.7
Oregon,32.7
Notre Dame,31.4
Oklahoma,29.6
Texas A&M,28.0
Utah,26.4
Vanderbilt,26.3
Georgia,25.9
Iowa,25.4
Miami,23.7
Mississippi,23.3
Tennessee,22.8
Clemson,21.7
Alabama,19.3
BYU,18.8
Missouri,18.7
Auburn,18.5
LSU,18.2
Washington,17.6
USC,16.8
Arizona,14.8
Kansas St,14.7
Michigan,14.4
Pittsburgh,13.3
Texas,12.9
Penn St,12.9
Duke,12.4
Arkansas,12.2
J Madison,12.1
South Carolina,11.9
Louisville,11.9
SMU,11.5
Virginia,11.5
Arizona St,11.0
S Florida,10.5
Houston,10.2
Michigan St,9.0
TCU,7.9
E Carolina,7.8
N Texas,7.3
Mississippi St,7.2
Wisconsin,7.0
Georgia Tech,6.2
Cincinnati,5.5
Kansas,5.4
Illinois,5.3
Northwestern,5.2
Memphis,4.8
New Mexico,3.8
Old Dominion,3.6
Baylor,3.4
Maryland,3.4
Wake Forest,3.2
UCLA,3.0
Florida,2.5
Iowa St,1.9
Navy,1.7
Boise St,1.3
Army,1.2
UNLV,0.7
NC State,0.6
Rutgers,0.6
Nebraska,-0.3
Tulane,-0.6
Washington St,-0.9
Purdue,-1.3
Virginia Tech,-1.3
Fresno St,-1.4
Texas St,-1.5
Florida St,-1.7
Toledo,-2.1
Kentucky,-2.3
Syracuse,-2.7
Troy,-2.9
Boston College,-3.0
Air Force,-3.7
West Virginia,-3.9
Temple,-4.0
Utah St,-4.4
Kennesaw St,-4.4
California,-4.7
Florida Intl,-4.8
UCF,-4.9
San Diego St,-5.0
W Kentucky,-5.0
Minnesota,-5.0
Ohio,-5.6
Miami OH,-6.2
North Carolina,-6.4
Colorado,-6.5
UConn,-7.2
Southern Miss,-7.3
Stanford,-8.3
S Alabama,-9.5
UTSA,-10.0
Louisiana,-10.0
Louisiana Tech,-10.4
W Michigan,-10.4
Hawai'i,-11.6
Bowling Green,-11.7
Buffalo,-12.0
Marshall,-12.5
Oklahoma St,-12.6
C Michigan,-13.0
Liberty,-13.1
Missouri St,-13.3
Nevada,-13.4
Oregon St,-13.5
Arkansas St,-14.0
Georgia So,-14.4
Florida Atlantic,-14.6
Wyoming,-14.9
Jacksonville St,-15.0
Middle Tenn,-15.4
Charlotte,-15.4
App State,-15.4
Colorado St,-15.5
Tulsa,-15.6
E Michigan,-16.0
N Illinois,-16.1
UTEP,-16.2
UAB,-16.7
Coastal Car,-17.3
San Jose St,-18.4
New Mexico St,-19.9
Rice,-20.0
Delaware,-21.0
Kent St,-21.3
Georgia St,-23.5
Akron,-25.3
UL Monroe,-25.3
Ball St,-25.7
Sam Houston,-28.0
UMass,-34.0
