Team,Rating
Indiana,33.2
Ohio St,32.8
Notre Dame,29.7
Texas Tech,29.5
Oregon,28.7
Georgia,24.3
Alabama,24.1
Utah,23.8
Miami,23.7
Texas A&M,22.0
Mississippi,20.8
USC,20.7
Oklahoma,20.0
Vanderbilt,19.9
Iowa,19.4
Texas,19.3
Penn St,19.0
BYU,17.9
Michigan,17.4
Washington,16.8
Tennessee,16.1
Missouri,15.9
LSU,14.4
Auburn,13.7
SMU,13.4
Clemson,13.2
Arizona,13.1
Florida St,13.0
Illinois,12.9
S Florida,12.6
Louisville,11.9
Florida,11.8
Pittsburgh,11.4
South Carolina,10.8
J Madison,10.4
Iowa St,10.4
Nebraska,10.3
Georgia Tech,9.6
TCU,9.6
Kansas St,9.5
Arizona St,8.9
Arkansas,8.9
Virginia,8.7
Cincinnati,8.6
N Texas,8.3
Mississippi St,7.2
Duke,7.0
Kansas,6.7
NC State,6.1
Houston,6.1
Baylor,5.7
Kentucky,5.6
Boise St,5.5
Northwestern,5.2
Wisconsin,5.1
Toledo,5.0
Minnesota,4.7
Rutgers,4.3
Tulane,3.9
E Carolina,3.7
Memphis,3.3
Michigan St,3.2
Old Dominion,3.0
Wake Forest,2.4
UCF,2.0
Navy,0.7
Washington St,0.3
UTSA,-0.1
San Diego St,-0.1
UCLA,-0.2
Maryland,-0.3
UNLV,-0.6
Virginia Tech,-1.5
West Virginia,-1.7
UConn,-1.9
Colorado,-2.0
California,-2.3
Boston College,-2.5
Fresno St,-3.3
Purdue,-3.4
Stanford,-3.5
Utah St,-3.6
Texas St,-3.9
New Mexico,-4.0
Army,-4.4
Ohio,-4.4
Hawai'i,-4.9
North Carolina,-5.1
W Michigan,-5.8
Syracuse,-6.0
Louisiana Tech,-6.5
Miami OH,-6.6
W Kentucky,-6.7
Air Force,-7.1
Kennesaw St,-7.6
Troy,-8.0
Marshall,-8.6
Temple,-9.1
Southern Miss,-9.8
Liberty,-9.9
Florida Intl,-10.5
Jacksonville St,-10.7
Oklahoma St,-10.7
C Michigan,-10.7
Louisiana,-11.0
Oregon St,-11.4
Wyoming,-11.6
S Alabama,-11.6
Arkansas St,-12.0
Georgia So,-12.3
Missouri St,-12.7
Buffalo,-13.0
Florida Atlantic,-13.4
Colorado St,-13.9
App State,-14.0
Delaware,-14.4
San Jose St,-14.6
Tulsa,-14.7
Bowling Green,-14.8
Nevada,-15.4
Coastal Car,-16.0
UAB,-16.4
E Michigan,-16.5
N Illinois,-17.1
Rice,-17.7
New Mexico St,-17.9
UTEP,-18.7
Middle Tenn,-19.4
Akron,-19.7
Georgia St,-20.3
Kent St,-21.1
UL Monroe,-21.2
Ball St,-22.3
Charlotte,-23.4
Sam Houston,-25.6
UMass,-34.2
