1,2
Army,295.4
New Mexico,262.9
Jksnville St,253.0
Liberty,248.8
Navy,247.2
Boise St,232.5
UCF,229.4
Air Force,229.3
UNLV,227.3
Ohio,221.5
Tennessee,220.0
Kansas St,210.2
Old Dominion,209.8
Texas St,209.1
Penn St,202.3
Kansas,201.3
Notre Dame,201.0
Arizona St,199.9
James Mad,197.6
Marshall,197.3
N Illinois,194.8
Iowa,194.7
Connecticut,192.7
Tulane,192.2
Utah St,189.8
GA Tech,186.8
Miami,185.9
W Virginia,185.9
S Alabama,184.9
Texas A&M,184.3
Memphis,183.7
Baylor,181.0
Sam Hous St,179.8
VA Tech,178.4
S Carolina,177.7
Fla Atlantic,177.5
S Florida,177.0
Arkansas,177.0
Louisville,176.8
N Mex State,176.4
Cincinnati,175.8
E Carolina,174.5
Central Mich,174.0
Oregon St,173.5
Alabama,172.8
Louisiana,170.9
Mississippi,170.2
N Carolina,170.0
UL Monroe,169.2
W Michigan,167.4
Texas Tech,166.5
Ohio St,166.4
Iowa St,166.2
Buffalo,165.8
Auburn,164.5
Clemson,163.8
Coastal Car,163.8
Colorado St,163.5
Missouri,163.4
Rutgers,162.5
Wash State,162.0
Oregon,161.9
Florida,160.8
UTSA,160.7
U Mass,160.2
BYU,159.8
North Texas,159.5
Arkansas St,159.4
Texas,158.9
Michigan,157.2
Boston Col,154.8
S Methodist,152.2
Wisconsin,152.1
Indiana,151.9
App State,151.8
Troy,151.2
Nevada,150.4
Illinois,146.3
USC,145.6
E Michigan,144.1
NC State,140.5
Wyoming,138.8
Oklahoma,136.1
Tulsa,135.5
Miami (OH),135.3
Houston,134.8
Kentucky,134.4
Stanford,133.9
Vanderbilt,132.3
Miss State,132.0
Georgia St,131.5
Nebraska,129.8
Pittsburgh,128.2
GA Southern,126.8
Charlotte,126.5
Virginia,125.7
Utah,125.5
Wake Forest,125.5
Washington,123.8
California,123.2
Bowling Grn,122.8
Georgia,121.3
Florida Intl,121.3
LSU,121.1
TX El Paso,120.5
Kennesaw St,119.0
San Diego St,117.5
Minnesota,115.6
UAB,115.5
Toledo,113.1
Oklahoma St,113.0
TX Christian,112.8
LA Tech,110.1
Michigan St,110.0
W Kentucky,109.2
S Mississippi,107.8
Maryland,106.2
Akron,104.8
Purdue,103.3
Arizona,98.4
Ball St,96.5
Syracuse,95.8
Duke,95.3
Rice,94.4
Temple,93.6
Fresno St,93.5
San Jose St,89.9
Hawaii,89.5
Northwestern,89.0
Middle Tenn,88.0
UCLA,86.8
Florida St,82.2
Kent St,77.3
Colorado,65.7
