1,2
Ohio St,8.8
Texas Tech,11.3
Indiana,11.8
Toledo,13.3
San Diego St,13.7
Miami,14.8
Oklahoma,14.9
Oregon,15.0
Iowa,15.9
J Madison,16.3
Georgia,16.8
Notre Dame,17.6
W Michigan,18.6
Michigan,18.7
Alabama,18.8
LSU,19.1
Utah,19.5
Texas,19.8
Washington,20.3
Arizona,20.4
Old Dominion,20.5
BYU,20.6
Missouri,20.6
Virginia,20.9
Auburn,21.0
Washington St,21.1
Fresno St,21.3
Iowa St,21.4
Clemson,21.4
SMU,21.4
Louisville,21.5
Wisconsin,21.6
Wyoming,21.7
Army,21.8
Ohio,21.8
E Carolina,21.9
Mississippi,21.9
Northwestern,22.2
USC,22.4
New Mexico,22.5
Wake Forest,22.5
Tulane,22.6
Penn St,22.8
South Carolina,23.2
Louisiana Tech,23.3
Arizona St,23.4
Memphis,23.6
Vanderbilt,23.6
Florida St,23.7
Boise St,23.8
C Michigan,23.8
Houston,23.8
Miami OH,23.8
Texas A&M,23.9
S Florida,24.2
Nebraska,24.5
Troy,24.8
W Kentucky,25.0
N Illinois,25.0
Illinois,25.1
Buffalo,25.1
UCF,25.1
Kennesaw St,25.3
Hawai'i,25.4
Minnesota,25.5
TCU,25.5
Bowling Green,25.8
Kansas St,25.9
Georgia Tech,26.2
Florida,26.2
North Carolina,26.2
Pittsburgh,26.4
UConn,27.0
N Texas,27.0
Cincinnati,27.1
Maryland,27.4
Jacksonville St,27.5
Arkansas St,27.6
Kentucky,27.9
Southern Miss,28.1
Liberty,28.3
Nevada,28.5
Kansas,28.5
California,28.6
UNLV,28.7
Navy,28.9
Stanford,29.2
Akron,29.3
Florida Intl,29.5
Duke,29.7
New Mexico St,29.8
Tennessee,29.8
E Michigan,29.9
Ball St,29.9
Missouri St,30.0
Utah St,30.2
Michigan St,30.5
UTSA,30.5
Colorado,30.5
NC State,30.5
Middle Tenn,30.6
Tulsa,30.9
Oregon St,30.9
S Alabama,31.3
App State,31.4
UTEP,31.6
Temple,31.7
Mississippi St,31.8
Louisiana,31.8
Air Force,31.9
Colorado St,32.1
Marshall,32.4
Virginia Tech,32.4
San Jose St,32.9
Texas St,33.1
Purdue,33.2
West Virginia,33.4
UCLA,33.4
Rice,33.6
Rutgers,33.8
Delaware,33.9
Boston College,34.8
UL Monroe,34.8
Baylor,34.9
Kent St,35.1
Oklahoma St,35.7
Georgia So,35.7
Syracuse,35.9
Arkansas,36.3
Charlotte,36.5
Coastal Car,37.0
Sam Houston,37.8
UAB,37.9
Florida Atlantic,38.4
Georgia St,39.4
UMass,39.6
