Team,Rating
Indiana,17.3
Ohio St,16.0
Alabama,15.5
Oregon,15.4
Texas,13.8
Florida,13.8
Georgia,13.7
Oklahoma,13.3
Texas A&M,13.1
Iowa,13.0
Notre Dame,12.8
Penn St,12.7
USC,12.6
LSU,12.3
Texas Tech,11.7
BYU,11.6
Auburn,11.5
Vanderbilt,11.5
Arkansas,11.3
South Carolina,11.3
Miami,11.2
Michigan,11.0
Missouri,11.0
Wisconsin,10.5
Mississippi,10.4
Tennessee,10.1
Utah,10.0
Kentucky,9.6
Illinois,9.4
Washington,9.3
Mississippi St,9.2
UCLA,8.7
Florida St,8.1
Arizona St,7.2
Nebraska,7.0
Kansas St,6.8
Baylor,6.7
Rutgers,6.6
Kansas,6.5
Pittsburgh,6.4
NC State,6.3
Northwestern,6.3
Iowa St,6.2
Michigan St,6.1
Louisville,6.1
Clemson,6.0
TCU,6.0
Cincinnati,6.0
Arizona,5.8
Purdue,5.4
SMU,5.1
West Virginia,5.1
Virginia Tech,5.0
Minnesota,4.5
Colorado,4.5
Georgia Tech,4.1
Stanford,3.6
Duke,3.6
S Florida,3.3
Maryland,2.8
Boston College,2.5
Syracuse,2.5
Houston,2.2
Virginia,2.1
UCF,2.1
Wake Forest,0.6
Washington St,0.5
Oklahoma St,-0.1
California,-0.1
Tulane,-0.7
North Carolina,-1.2
Boise St,-1.5
UTSA,-2.8
E Carolina,-2.8
Navy,-3.4
N Texas,-3.6
Memphis,-4.1
J Madison,-4.3
Utah St,-4.3
Army,-5.0
Old Dominion,-5.2
New Mexico,-5.6
Colorado St,-5.6
Temple,-5.9
UNLV,-6.1
Air Force,-6.4
Oregon St,-6.6
San Diego St,-6.8
Toledo,-7.2
Fresno St,-7.3
Texas St,-7.4
Hawai'i,-7.5
San Jose St,-7.7
W Michigan,-7.7
Florida Atlantic,-7.8
Troy,-7.9
Nevada,-8.1
Miami OH,-8.2
UAB,-8.5
Wyoming,-8.7
Ohio,-9.2
Marshall,-9.3
Rice,-9.5
Tulsa,-9.6
Georgia So,-9.6
UConn,-9.7
Arkansas St,-9.8
Coastal Car,-9.8
Kennesaw St,-10.0
Charlotte,-10.0
Georgia St,-10.1
S Alabama,-10.2
Louisiana Tech,-10.4
Missouri St,-10.4
Louisiana,-10.5
Liberty,-10.6
Southern Miss,-10.8
W Kentucky,-10.8
C Michigan,-11.4
Florida Intl,-11.6
Delaware,-11.9
UL Monroe,-11.9
E Michigan,-12.1
App State,-12.1
Sam Houston,-12.3
Jacksonville St,-12.4
N Illinois,-12.6
Bowling Green,-12.9
Ball St,-13.0
Middle Tenn,-13.1
Buffalo,-13.8
New Mexico St,-13.8
UTEP,-14.4
Kent St,-14.7
Akron,-16.2
UMass,-17.1
