1,2
Miami,42.9
Indiana,38.3
Texas St,36.8
Texas Tech,36.4
Notre Dame,36.1
Jksnville St,36.0
Boise St,35.8
Oregon,35.7
Ohio St,35.7
Mississippi,35.5
Memphis,35.3
James Mad,35.0
S Methodist,34.8
Louisville,34.3
Wash State,33.8
Tulane,33.8
New Mexico,33.7
Baylor,33.5
Clemson,33.5
North Texas,33.4
Syracuse,33.4
Penn St,33.1
Colorado,33.1
Texas,33.0
Arizona St,32.9
Tennessee,32.9
UNLV,32.5
TX Christian,32.5
Alabama,32.3
UTSA,32.2
Iowa St,31.8
Utah St,31.5
E Carolina,31.2
S Florida,30.8
Marshall,30.8
BYU,30.3
Georgia,30.2
Army,30.2
Louisiana,30.2
USC,30.2
Kansas St,30.0
S Alabama,30.0
Ohio,29.9
Navy,29.8
N Carolina,29.8
Pittsburgh,29.6
Connecticut,29.3
LSU,29.3
Buffalo,28.8
Texas A&M,28.6
S Carolina,28.3
VA Tech,28.2
Old Dominion,28.0
Kansas,28.0
UCF,28.0
NC State,27.8
Coastal Car,27.8
Arkansas,27.7
Rutgers,27.7
Liberty,27.6
W Virginia,27.5
San Jose St,27.3
Missouri,27.1
Illinois,26.9
Florida,26.9
GA Southern,26.8
Iowa,26.7
Toledo,26.6
W Michigan,26.4
GA Tech,26.4
Duke,26.3
Bowling Grn,25.9
Boston Col,25.8
Oklahoma St,25.6
App State,25.5
Troy,25.3
Arkansas St,25.2
E Michigan,25.0
Vanderbilt,25.0
Florida Intl,24.9
UAB,24.8
California,24.6
Fla Atlantic,24.5
W Kentucky,24.5
Fresno St,24.4
Minnesota,24.3
Miami (OH),24.1
Cincinnati,24.0
Wake Forest,23.9
Ball St,23.8
Georgia St,23.8
Sam Hous St,23.8
Auburn,23.6
Charlotte,23.4
Colorado St,23.3
Miss State,23.1
Oregon St,23.0
Nebraska,22.7
Washington,22.4
Maryland,22.4
Wisconsin,22.2
N Illinois,22.1
Michigan,22.0
Arizona,21.7
Virginia,21.6
Tulsa,21.6
N Mex State,21.5
Utah,21.3
Stanford,21.2
Oklahoma,21.1
Nevada,20.9
LA Tech,20.6
UL Monroe,20.2
U Mass,20.0
Wyoming,19.9
Hawaii,19.7
Temple,19.6
Akron,19.5
San Diego St,19.2
TX El Paso,19.1
Air Force,18.7
Central Mich,18.6
UCLA,18.4
Kentucky,18.1
Rice,17.9
Michigan St,17.5
Kennesaw St,16.8
Middle Tenn,16.8
Northwestern,16.6
Houston,14.0
Kent St,13.6
S Mississippi,13.5
Florida St,13.1
Purdue,12.7
