0,2
Indiana,100.0
Georgia,92.3
Ohio St,92.3
Texas Tech,92.3
J Madison,92.3
Mississippi,91.7
Texas A&M,91.7
Oregon,91.7
Tulane,84.6
N Texas,84.6
BYU,84.6
Navy,83.3
Notre Dame,83.3
Vanderbilt,83.3
Oklahoma,83.3
Utah,83.3
Miami,83.3
Alabama,76.9
UNLV,76.9
Virginia,76.9
Kennesaw St,76.9
Michigan,75.0
Texas,75.0
Houston,75.0
S Florida,75.0
New Mexico,75.0
San Diego St,75.0
Arizona,75.0
USC,75.0
Georgia Tech,75.0
UConn,75.0
Old Dominion,75.0
W Michigan,69.2
Boise St,69.2
Toledo,66.7
Ohio,66.7
SMU,66.7
Hawai'i,66.7
Fresno St,66.7
Tennessee,66.7
Illinois,66.7
Iowa,66.7
Iowa St,66.7
Missouri,66.7
E Carolina,66.7
TCU,66.7
Memphis,66.7
Louisville,66.7
Washington,66.7
Arizona St,66.7
Wake Forest,66.7
Pittsburgh,66.7
W Kentucky,66.7
Troy,61.5
Duke,61.5
Jacksonville St,61.5
C Michigan,58.3
Louisiana Tech,58.3
LSU,58.3
Minnesota,58.3
Nebraska,58.3
Cincinnati,58.3
Southern Miss,58.3
California,58.3
Clemson,58.3
NC State,58.3
Florida Intl,58.3
Missouri St,58.3
Miami OH,53.9
Northwestern,50.0
Penn St,50.0
Kansas St,50.0
Army,50.0
Louisiana,50.0
Utah St,50.0
Arkansas St,50.0
Washington St,50.0
Delaware,50.0
Texas St,50.0
Georgia So,50.0
Coastal Car,50.0
UTSA,50.0
Akron,41.7
Buffalo,41.7
Marshall,41.7
UCF,41.7
Kent St,41.7
Rice,41.7
Kentucky,41.7
Auburn,41.7
Mississippi St,41.7
Kansas,41.7
Baylor,41.7
Florida St,41.7
Temple,41.7
Rutgers,41.7
App State,41.7
E Michigan,33.3
Ball St,33.3
Bowling Green,33.3
Tulsa,33.3
South Carolina,33.3
Florida,33.3
Wisconsin,33.3
Michigan St,33.3
UAB,33.3
New Mexico St,33.3
Air Force,33.3
Wyoming,33.3
Stanford,33.3
North Carolina,33.3
Maryland,33.3
West Virginia,33.3
Florida Atlantic,33.3
Liberty,33.3
S Alabama,33.3
N Illinois,25.0
Nevada,25.0
San Jose St,25.0
Colorado,25.0
UL Monroe,25.0
Middle Tenn,25.0
UCLA,25.0
Virginia Tech,25.0
Syracuse,25.0
UTEP,16.7
Arkansas,16.7
Purdue,16.7
Colorado St,16.7
Oregon St,16.7
Boston College,16.7
Sam Houston,16.7
Oklahoma St,8.3
Georgia St,8.3
Charlotte,8.3
UMass,0.0
