rush_adv_team1,rush_adv_team2,pass_adv_team1,pass_adv_team2,score_adv_team1,score_adv_team2,turnover_adv_team1,turnover_adv_team2,pred_rank_team1,pred_rank_team2,sos_team1,sos_team2,WinPct_team1,WinPct_team2,week,label
103.0,59.0,229.0,-167.0,20.0,-12.0,0.0,0.0,8.2,9.2,10.8,0.6,84.6,85.7,2,1
59.0,103.0,-167.0,229.0,-12.0,20.0,0.0,0.0,9.2,8.2,0.6,10.8,85.7,84.6,2,0
206.0,131.0,-17.0,11.0,37.0,-2.0,0.0,2.0,17.9,-0.3,-13.3,-2.9,78.6,53.9,2,1
131.0,206.0,11.0,-17.0,-2.0,37.0,2.0,0.0,-0.3,17.9,-2.9,-13.3,53.9,78.6,2,0
-1.0,-167.0,-227.0,6.0,-37.0,-20.0,4.0,2.0,-8.4,-2.1,20.8,12.4,61.5,46.2,2,1
-167.0,-1.0,6.0,-227.0,-20.0,-37.0,2.0,4.0,-2.1,-8.4,12.4,20.8,46.2,61.5,2,0
-131.0,-92.0,-83.0,-116.0,-41.0,-10.0,2.0,-3.0,-20.5,-23.4,-21.5,7.8,25.0,25.0,2,1
-92.0,-131.0,-116.0,-83.0,-10.0,-41.0,-3.0,2.0,-23.4,-20.5,7.8,-21.5,25.0,25.0,2,0
-30.0,7.0,25.0,-92.0,27.0,-16.0,-2.0,-4.0,1.9,8.0,-8.1,6.6,33.3,69.2,2,1
7.0,-30.0,-92.0,25.0,-16.0,27.0,-4.0,-2.0,8.0,1.9,6.6,-8.1,69.2,33.3,2,0
62.0,38.0,-38.0,135.0,4.0,13.0,0.0,1.0,20.3,-1.0,0.4,17.9,87.5,41.7,2,1
38.0,62.0,135.0,-38.0,13.0,4.0,1.0,0.0,-1.0,20.3,17.9,0.4,41.7,87.5,2,0
21.0,63.0,14.0,-63.0,14.0,13.0,-3.0,0.0,-6.2,4.4,-17.0,-6.2,78.6,76.9,2,1
63.0,21.0,-63.0,14.0,13.0,14.0,0.0,-3.0,4.4,-6.2,-6.2,-17.0,76.9,78.6,2,0
145.0,-28.0,54.0,10.0,22.0,4.0,0.0,0.0,25.5,-7.5,12.6,-8.6,87.5,41.7,2,1
-28.0,145.0,10.0,54.0,4.0,22.0,0.0,0.0,-7.5,25.5,-8.6,12.6,41.7,87.5,2,0
-24.0,261.0,6.0,117.0,11.0,56.0,1.0,-1.0,17.1,13.8,-14.1,-10.8,46.2,76.9,2,1
261.0,-24.0,117.0,6.0,56.0,11.0,-1.0,1.0,13.8,17.1,-10.8,-14.1,76.9,46.2,2,0
-46.0,-179.0,-105.0,144.0,-9.0,-2.0,1.0,0.0,10.1,-3.3,7.5,-9.4,25.0,33.3,2,1
-179.0,-46.0,144.0,-105.0,-2.0,-9.0,0.0,1.0,-3.3,10.1,-9.4,7.5,33.3,25.0,2,0
-33.0,66.0,-9.0,91.0,-4.0,14.0,0.0,0.0,14.4,-17.3,-4.5,0.2,41.7,78.6,2,1
66.0,-33.0,91.0,-9.0,14.0,-4.0,0.0,0.0,-17.3,14.4,0.2,-4.5,78.6,41.7,2,0
-68.0,-49.0,65.5,151.0,8.5,17.5,0.0,-1.0,15.3,2.5,-10.0,2.1,71.4,69.2,3,1
-49.0,-68.0,151.0,65.5,17.5,8.5,-1.0,0.0,2.5,15.3,2.1,-10.0,69.2,71.4,3,0
-187.0,46.0,-122.0,-81.0,-23.0,-17.0,1.0,-1.0,3.3,-7.3,1.2,-16.0,78.6,41.7,3,1
46.0,-187.0,-81.0,-122.0,-17.0,-23.0,-1.0,1.0,-7.3,3.3,-16.0,1.2,41.7,78.6,3,0
-89.5,-56.0,13.0,28.0,-10.5,-15.0,0.5,0.5,-9.9,-18.6,-9.0,-20.7,25.0,41.7,3,1
-56.0,-89.5,28.0,13.0,-15.0,-10.5,0.5,0.5,-18.6,-9.9,-20.7,-9.0,41.7,25.0,3,0
-141.0,61.5,-157.0,86.5,-31.5,5.0,-1.0,2.5,-9.3,-11.1,-11.1,2.8,69.2,25.0,3,1
61.5,-141.0,86.5,-157.0,5.0,-31.5,2.5,-1.0,-11.1,-9.3,2.8,-11.1,25.0,69.2,3,0
-57.0,-47.5,47.5,-57.5,2.0,15.5,-1.5,-1.5,12.4,4.2,-10.8,5.9,46.2,81.3,3,1
-47.5,-57.0,-57.5,47.5,15.5,2.0,-1.5,-1.5,4.2,12.4,5.9,-10.8,81.3,46.2,3,0
-93.0,-218.0,164.0,79.0,-32.0,-34.0,4.0,3.0,1.4,-22.9,-6.0,-20.6,41.7,64.3,3,1
-218.0,-93.0,79.0,164.0,-34.0,-32.0,3.0,4.0,-22.9,1.4,-20.6,-6.0,64.3,41.7,3,0
122.5,48.5,-71.0,-84.0,11.0,-1.0,-0.5,2.0,-1.3,-0.3,-10.3,-6.8,69.2,61.5,3,1
48.5,122.5,-84.0,-71.0,-1.0,11.0,2.0,-0.5,-0.3,-1.3,-6.8,-10.3,61.5,69.2,3,0
-25.0,163.0,66.5,-12.5,18.5,14.5,-1.0,-1.0,9.7,4.3,-11.8,1.2,61.5,33.3,3,1
163.0,-25.0,-12.5,66.5,14.5,18.5,-1.0,-1.0,4.3,9.7,1.2,-11.8,33.3,61.5,3,0
55.0,149.5,-45.5,-69.5,21.5,5.5,-2.0,-1.5,19.4,5.4,-1.3,3.4,78.6,69.2,3,1
149.5,55.0,-69.5,-45.5,5.5,21.5,-1.5,-2.0,5.4,19.4,3.4,-1.3,69.2,78.6,3,0
5.5,-30.0,-53.0,42.0,11.0,5.5,-1.5,-2.5,-5.4,0.6,-17.2,1.4,84.6,57.1,3,1
-30.0,5.5,42.0,-53.0,5.5,11.0,-2.5,-1.5,0.6,-5.4,1.4,-17.2,57.1,84.6,3,0
213.0,64.0,152.0,-67.0,24.0,7.0,0.0,-1.0,1.4,1.6,-9.5,-14.1,61.5,53.9,3,1
64.0,213.0,-67.0,152.0,7.0,24.0,-1.0,0.0,1.6,1.4,-14.1,-9.5,53.9,61.5,3,0
26.0,186.0,-198.0,165.0,-11.0,35.0,-1.0,2.0,9.8,3.4,-14.2,-4.9,69.2,38.5,3,1
186.0,26.0,165.0,-198.0,35.0,-11.0,2.0,-1.0,3.4,9.8,-4.9,-14.2,38.5,69.2,3,0
