week,date,winner,loser,point_diff,year
1,2015-09-03,Arizona,Texas-San Antonio,10,2015
1,2015-09-03,Ball State,Virginia Military Institute,12,2015
1,2015-09-03,Connecticut,Villanova,5,2015
1,2015-09-03,Duke,Tulane,30,2015
1,2015-09-03,Florida International,Central Florida,1,2015
1,2015-09-03,Fresno State,Abilene Christian,21,2015
1,2015-09-03,Georgia Tech,Alcorn State,63,2015
1,2015-09-03,Hawaii,Colorado,8,2015
1,2015-09-03,Nevada,California-Davis,14,2015
1,2015-09-03,Ohio,Idaho,17,2015
1,2015-09-03,Oklahoma State,Central Michigan,11,2015
1,2015-09-03,San Jose State,New Hampshire,30,2015
1,2015-09-03,South Carolina,North Carolina,4,2015
1,2015-09-03,Texas Christian,Minnesota,6,2015
1,2015-09-03,Utah,Michigan,7,2015
1,2015-09-03,Utah State,Southern Utah,3,2015
1,2015-09-03,Wake Forest,Elon,38,2015
1,2015-09-03,Western Kentucky,Vanderbilt,2,2015
1,2015-09-04,Baylor,Southern Methodist,35,2015
1,2015-09-04,Boise State,Washington,3,2015
1,2015-09-04,Charlotte,Georgia State,3,2015
1,2015-09-04,Fordham,Army,2,2015
1,2015-09-04,Michigan State,Western Michigan,13,2015
1,2015-09-04,Oregon State,Weber State,19,2015
1,2015-09-04,Syracuse,Rhode Island,47,2015
1,2015-09-05,Air Force,Morgan State,56,2015
1,2015-09-05,Alabama,Wisconsin,18,2015
1,2015-09-05,Appalachian State,Howard,49,2015
1,2015-09-05,Arkansas,Texas-El Paso,35,2015
1,2015-09-05,Auburn,Louisville,7,2015
1,2015-09-05,Boston College,Maine,21,2015
1,2015-09-05,Brigham Young,Nebraska,5,2015
1,2015-09-05,Buffalo,Albany,37,2015
1,2015-09-05,California,Grambling State,59,2015
1,2015-09-05,Cincinnati,Alabama A&M,42,2015
1,2015-09-05,Clemson,Wofford,39,2015
1,2015-09-05,Colorado State,Savannah State,52,2015
1,2015-09-05,East Carolina,Towson,8,2015
1,2015-09-05,Florida,New Mexico State,48,2015
1,2015-09-05,Florida State,Texas State,43,2015
1,2015-09-05,Georgia,Louisiana-Monroe,37,2015
1,2015-09-05,Houston,Tennessee Tech,28,2015
1,2015-09-05,Illinois,Kent State,49,2015
1,2015-09-05,Indiana,Southern Illinois,1,2015
1,2015-09-05,Iowa,Illinois State,17,2015
1,2015-09-05,Iowa State,Northern Iowa,24,2015
1,2015-09-05,Kansas State,South Dakota,34,2015
1,2015-09-05,Kentucky,Louisiana,7,2015
