Team,Rating
Ohio St,31.3
Notre Dame,27.4
Texas,26.9
Mississippi,26.0
Alabama,24.1
Georgia,24.1
Penn St,23.2
Oregon,22.3
Tennessee,22.2
Indiana,21.5
Miami,18.9
S Carolina,17.5
LSU,16.7
Louisville,16.4
Clemson,16.1
S Methodist,16.0
Texas A&M,15.5
Florida,15.4
USC,15.1
Arizona St,13.8
Michigan,13.6
Iowa,13.5
Missouri,13.3
Iowa St,13.1
BYU,12.9
Kansas St,12.7
Oklahoma,12.3
Colorado,12.3
Minnesota,11.8
VA Tech,10.4
TX Christian,10.4
Baylor,10.4
Kansas,10.2
Auburn,10.2
Tulane,10.1
Arkansas,10.0
Boise St,9.7
Illinois,8.4
Nebraska,8.4
Utah,8.0
UCF,7.9
GA Tech,7.7
Kentucky,7.6
UNLV,7.3
Vanderbilt,7.2
Texas Tech,6.5
Wisconsin,6.3
Washington,6.3
Rutgers,5.7
Syracuse,5.3
Boston Col,4.9
Army,4.8
Cincinnati,4.8
Memphis,4.6
UCLA,3.8
Navy,3.6
W Virginia,3.3
Pittsburgh,3.2
Duke,2.6
California,2.5
Texas St,2.1
N Carolina,1.6
James Mad,1.0
Marshall,0.6
Miss State,0.4
Maryland,0.3
NC State,0.1
Ohio,-0.2
S Alabama,-0.6
Wash State,-0.7
Oklahoma St,-1.0
Houston,-1.1
Miami (OH),-1.3
Florida St,-1.5
Virginia,-1.5
Louisiana,-1.6
Michigan St,-1.7
Northwestern,-3.1
Jksnville St,-3.1
S Florida,-3.1
N Illinois,-3.3
Arizona,-3.4
Connecticut,-3.7
Bowling Grn,-3.7
Old Dominion,-4.0
UTSA,-4.1
Toledo,-4.2
Wake Forest,-4.5
GA Southern,-5.0
Stanford,-5.1
E Carolina,-5.6
Fresno St,-5.6
North Texas,-7.1
Rice,-7.3
Liberty,-8.0
App State,-8.1
San Jose St,-8.2
Sam Hous St,-8.3
Oregon St,-8.8
W Kentucky,-9.0
Troy,-9.2
Colorado St,-9.2
Buffalo,-10.1
W Michigan,-10.2
Coastal Car,-10.2
Air Force,-11.4
Utah St,-11.9
Nevada,-11.9
Wyoming,-12.5
Hawaii,-12.5
Arkansas St,-12.6
UAB,-12.8
Charlotte,-12.9
Purdue,-13.1
LA Tech,-13.5
UL Monroe,-13.9
E Michigan,-14.1
Florida Intl,-14.3
Georgia St,-14.4
Fla Atlantic,-14.4
Central Mich,-15.3
San Diego St,-15.5
New Mexico,-15.5
Akron,-16.3
U Mass,-19.4
Ball St,-19.7
Temple,-20.6
TX El Paso,-22.8
Middle Tenn,-23.5
N Mex State,-24.9
S Mississippi,-25.7
Tulsa,-25.8
Kennesaw St,-26.1
Kent St,-32.5
