1,2
Ohio St,12.9
Texas,15.3
Notre Dame,15.5
Mississippi,15.6
Army,16.2
Penn St,16.5
Indiana,16.7
Tennessee,17.2
Alabama,18.3
Minnesota,18.3
S Carolina,18.6
Miami (OH),18.8
N Illinois,18.8
Ohio,19.1
Iowa,19.3
Oregon,19.8
Michigan,19.9
BYU,20.2
Sam Hous St,20.5
Nebraska,20.8
LA Tech,21.3
James Mad,21.7
UNLV,21.8
Georgia,21.9
Bowling Grn,22.0
Missouri,22.1
Oklahoma,22.2
Tulane,22.2
Navy,22.3
Utah,22.5
Arizona St,22.6
Colorado,22.8
VA Tech,22.8
Houston,22.9
Auburn,23.0
California,23.1
Boise St,23.2
S Methodist,23.2
Texas A&M,23.3
Liberty,23.5
Illinois,23.5
Kentucky,23.5
Connecticut,23.6
Florida Intl,24.0
Wisconsin,24.0
USC,24.1
Clemson,24.2
Texas St,24.3
Toledo,24.3
Florida,24.4
Fresno St,24.4
Iowa St,24.5
LSU,24.6
Marshall,24.8
Air Force,24.8
Kansas St,24.8
Cincinnati,25.0
Louisiana,25.2
UCLA,25.3
Vanderbilt,25.3
Washington,25.5
Boston Col,25.8
Memphis,25.8
Louisville,26.1
Jksnville St,26.1
Duke,26.3
S Alabama,26.4
Colorado St,26.5
W Kentucky,26.5
Miami,26.7
TX Christian,26.7
Rutgers,26.9
Arkansas,27.1
Rice,27.1
GA Tech,27.2
Buffalo,27.5
San Jose St,27.8
Old Dominion,28.0
Kansas,28.1
Northwestern,28.1
Michigan St,28.5
Baylor,28.7
GA Southern,28.8
UCF,29.1
Hawaii,29.1
E Carolina,29.3
Pittsburgh,29.3
Wyoming,29.4
N Carolina,29.6
Nevada,29.8
Florida St,29.9
Troy,29.9
Wash State,29.9
UL Monroe,30.1
Virginia,30.2
Syracuse,30.4
E Michigan,30.5
NC State,30.9
San Diego St,31.0
Oregon St,31.3
W Michigan,31.3
Maryland,31.4
Central Mich,31.5
Kennesaw St,31.8
UTSA,32.0
S Florida,32.0
Fla Atlantic,32.1
Arkansas St,32.3
Coastal Car,32.5
TX El Paso,32.8
Akron,33.1
W Virginia,33.4
Texas Tech,33.5
Arizona,33.7
Wake Forest,34.3
Georgia St,35.0
Middle Tenn,35.1
App State,35.2
North Texas,35.3
Temple,35.4
Charlotte,35.9
Stanford,36.1
Miss State,36.5
Oklahoma St,37.0
UAB,37.1
N Mex State,38.1
New Mexico,38.3
U Mass,38.8
Utah St,39.9
S Mississippi,40.3
Ball St,40.6
Purdue,43.5
Tulsa,43.8
Kent St,46.0
