rush_adv_team1,rush_adv_team2,pass_adv_team1,pass_adv_team2,score_adv_team1,score_adv_team2,turnover_adv_team1,turnover_adv_team2,pred_rank_team1,pred_rank_team2,sos_team2,sos_team2,week,label
169.0,89.0,-154.0,38.0,20.0,21.0,1.0,-3.0,7.2,16.4,-9.1,5.6,3,1
89.0,169.0,38.0,-154.0,21.0,20.0,-3.0,1.0,16.4,7.2,5.6,-9.1,3,0
107.0,12.0,-79.0,-94.0,-10.0,-14.0,1.0,1.0,15.5,-14.1,-3.5,9.2,3,1
12.0,107.0,-94.0,-79.0,-14.0,-10.0,1.0,1.0,-14.1,15.5,9.2,-3.5,3,0
-168.0,-64.0,46.0,-4.0,-17.0,-21.0,3.0,2.0,-1.2,-10.6,3.9,5.7,3,1
-64.0,-168.0,-4.0,46.0,-21.0,-17.0,2.0,3.0,-10.6,-1.2,5.7,3.9,3,0
-29.0,193.0,118.0,187.0,21.0,24.0,1.0,0.0,5.0,5.3,-22.6,-4.2,3,1
193.0,-29.0,187.0,118.0,24.0,21.0,0.0,1.0,5.3,5.0,-4.2,-22.6,3,0
2.0,-21.0,-186.0,-95.0,-6.0,-16.0,1.0,0.0,-10.5,7.9,14.3,-2.1,3,1
-21.0,2.0,-95.0,-186.0,-16.0,-6.0,0.0,1.0,7.9,-10.5,-2.1,14.3,3,0
-44.0,-113.0,-149.0,-185.0,-18.0,-32.0,1.0,2.0,9.2,-10.5,21.9,14.3,3,1
-113.0,-44.0,-185.0,-149.0,-32.0,-18.0,2.0,1.0,-10.5,9.2,14.3,21.9,3,0
-39.0,192.0,203.0,-36.0,35.0,11.0,1.0,-1.0,2.8,12.4,-8.3,-10.9,3,1
192.0,-39.0,-36.0,203.0,11.0,35.0,-1.0,1.0,12.4,2.8,-10.9,-8.3,3,0
-112.0,-79.0,110.0,-40.0,-33.0,-7.0,3.0,0.0,12.5,-11.7,11.9,0.5,3,1
-79.0,-112.0,-40.0,110.0,-7.0,-33.0,0.0,3.0,-11.7,12.5,0.5,11.9,3,0
-17.0,126.0,-33.0,-4.0,0.0,21.0,-1.0,-2.0,12.5,27.5,1.0,14.8,3,1
126.0,-17.0,-4.0,-33.0,21.0,0.0,-2.0,-1.0,27.5,12.5,14.8,1.0,3,0
-166.0,-62.0,137.0,-70.0,-23.0,-20.0,1.0,1.0,-1.0,-13.4,5.5,-11.7,3,1
-62.0,-166.0,-70.0,137.0,-20.0,-23.0,1.0,1.0,-13.4,-1.0,-11.7,5.5,3,0
190.0,284.0,188.0,-22.0,45.0,31.0,2.0,1.0,7.0,-0.6,-24.2,-27.2,3,1
284.0,190.0,-22.0,188.0,31.0,45.0,1.0,2.0,-0.6,7.0,-27.2,-24.2,3,0
-71.0,-43.0,-69.0,-213.0,-15.0,-21.0,0.0,0.0,4.6,-32.3,-1.9,-22.3,3,1
