f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
116.0,164.0,267.3,251.7,31.3,28.7,1.7,2.3,40.0,12.9,3.6,142.0,221.3,317.3,266.7,29.0,41.0,1.3,1.3,55.6,1.5,-0.4,0
67.3,104.3,174.3,244.0,11.3,25.7,3.0,2.0,40.0,-11.3,-8.4,118.7,201.7,136.0,296.0,14.7,44.0,0.7,0.3,36.4,-24.5,-12.7,1
241.7,105.0,158.7,316.7,30.7,28.3,0.3,2.3,40.0,-6.4,-9.5,286.0,261.7,149.0,204.3,35.7,37.3,2.0,2.0,20.0,-1.7,-4.0,0
272.7,63.0,191.0,193.7,35.7,9.7,1.7,2.7,60.0,10.3,-1.1,104.3,71.3,234.0,253.0,32.0,19.0,1.0,3.0,60.0,7.4,0.8,1
246.7,163.3,193.3,290.7,27.3,27.0,2.0,1.7,77.8,-4.8,-3.1,298.0,242.0,20.7,198.3,20.3,35.3,1.0,1.0,77.8,-7.4,-2.3,1
76.3,184.7,166.7,192.0,12.0,29.3,2.3,1.0,70.0,-1.5,-2.8,110.0,193.7,221.7,159.3,21.3,33.7,1.7,1.3,80.0,-10.3,-2.1,0
224.0,103.3,324.3,402.7,43.3,31.7,1.3,1.7,70.0,22.6,10.9,156.0,129.0,212.3,197.7,20.0,21.0,2.0,1.3,50.0,9.8,3.7,0
84.7,97.0,264.3,177.0,21.3,17.0,2.0,2.0,30.0,4.2,-1.9,117.7,150.7,225.7,158.7,25.0,11.3,1.3,2.0,50.0,9.5,0.0,0
0.0,0.0,0.0,0.0,45.7,24.0,0.3,1.3,30.0,15.7,4.1,0.0,0.0,0.0,0.0,18.3,47.3,0.0,1.0,80.0,-17.8,-4.8,0
111.0,147.3,440.0,275.7,61.7,25.7,0.7,2.7,70.0,10.8,-0.4,142.3,210.3,171.3,211.0,20.7,27.0,1.0,1.7,50.0,-17.8,-5.8,0
146.0,208.0,134.0,330.0,14.0,66.0,4.0,0.0,50.0,-15.4,-14.1,144.0,43.0,310.0,323.0,49.0,21.0,0.0,5.0,40.0,-0.5,-17.9,0
96.0,164.0,229.0,216.0,20.0,27.0,1.0,2.0,80.0,5.5,-3.6,123.0,-5.0,303.0,229.0,30.0,6.0,0.0,2.0,90.0,5.1,-19.0,0
191.5,113.0,237.0,158.0,23.5,13.0,2.5,1.5,55.6,7.4,-5.5,327.5,143.0,126.5,209.5,43.5,20.0,1.0,2.0,88.9,20.3,9.0,1
247.3,67.0,230.7,201.0,49.0,13.7,0.7,2.7,50.0,11.3,-0.5,158.0,162.3,173.0,166.7,32.3,17.0,0.3,2.3,70.0,3.4,-2.1,0
272.3,142.0,153.7,193.3,35.0,24.7,3.3,3.0,90.0,12.6,4.5,198.7,118.3,175.7,215.0,37.0,24.0,1.7,2.7,70.0,12.3,1.9,1
198.7,159.3,346.0,119.0,31.0,17.7,2.3,1.7,44.4,20.9,6.0,142.0,207.3,201.7,244.7,22.0,28.7,1.7,1.7,33.3,-1.2,2.5,1
173.0,122.0,242.7,222.3,29.0,21.7,2.0,2.0,50.0,3.6,0.8,119.7,336.0,242.3,143.0,17.7,40.0,2.3,1.3,30.0,-10.9,0.6,1
231.0,240.5,224.5,156.0,30.5,15.5,2.0,0.5,44.4,8.3,-5.5,276.0,150.3,132.0,177.7,35.7,24.7,1.3,2.3,88.9,16.8,8.4,0
106.7,103.0,263.0,258.0,23.7,25.0,1.0,2.0,40.0,0.8,1.9,111.3,154.3,240.7,197.0,22.7,27.0,2.0,2.3,50.0,-4.5,-0.2,1
141.0,148.7,289.3,380.3,23.7,34.3,2.3,1.7,90.9,1.5,0.1,125.3,165.7,289.3,250.3,27.7,22.3,1.0,1.0,70.0,14.5,5.2,0
182.7,106.3,235.0,252.3,27.3,20.3,0.3,1.3,44.4,-5.7,-7.2,189.0,104.0,313.7,273.0,46.3,22.7,1.7,3.3,55.6,-3.5,-13.2,0
348.0,91.7,211.3,149.3,50.3,13.3,1.3,2.7,60.0,20.9,4.4,121.0,180.0,170.0,241.0,13.3,33.7,1.7,0.3,40.0,-12.2,-6.8,0
140.3,207.0,228.3,204.0,32.7,34.7,1.7,2.0,70.0,-5.4,-0.4,268.0,208.0,116.3,217.7,24.0,32.7,1.7,2.3,77.8,-10.1,-8.2,0
111.0,108.7,346.3,336.7,28.3,34.7,1.0,0.3,77.8,-5.8,-5.9,168.3,187.3,260.3,127.0,29.0,24.0,0.7,1.3,88.9,-4.8,-5.2,1
172.7,109.0,207.3,329.7,33.3,25.0,2.3,1.7,40.0,0.6,-5.3,83.0,187.5,225.0,166.0,18.5,21.5,2.0,1.0,50.0,6.9,-3.9,0
145.5,171.0,299.5,234.5,30.5,16.5,3.0,3.0,90.0,-6.0,-15.5,115.0,363.0,325.0,76.0,40.0,14.0,1.0,3.0,40.0,-3.4,-21.7,0
82.0,150.0,230.7,227.0,17.0,17.0,1.0,2.0,33.3,11.2,8.8,263.0,209.0,137.7,118.3,32.3,21.0,1.0,2.3,44.4,4.8,1.5,0
105.0,232.0,214.0,239.0,28.0,32.0,1.0,0.0,60.0,-6.2,-6.7,113.0,90.0,342.0,129.0,17.0,13.0,2.0,1.0,60.0,0.6,-15.3,1
97.0,127.5,218.0,326.0,26.5,33.5,1.0,1.0,30.0,-5.1,-5.0,72.0,128.5,271.5,327.0,18.5,33.5,1.5,1.0,60.0,-2.5,0.6,1
