f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,label
114.8,142.4,317.4,230.8,33.8,21.2,2.0,1.6,40.0,12.9,3.6,139.5,184.8,313.7,213.3,29.5,31.7,1.2,0.8,55.6,1.5,-0.4,0
67.3,104.3,174.3,244.0,11.3,25.7,3.0,2.0,40.0,-11.3,-8.4,102.8,202.3,129.8,279.3,11.8,40.3,0.5,1.0,36.4,-24.5,-12.7,1
227.7,153.0,181.6,281.9,29.3,29.9,1.0,1.5,40.0,-6.4,-9.5,212.9,181.4,187.9,275.1,31.6,29.0,1.2,2.2,20.0,-1.7,-4.0,0
197.4,114.6,201.6,218.2,33.7,18.1,1.5,3.3,60.0,10.3,-1.1,120.2,100.8,230.8,241.1,28.3,18.2,1.5,3.0,60.0,7.4,0.8,1
210.7,155.4,175.4,274.0,23.7,28.9,1.5,1.5,77.8,-4.8,-3.1,286.8,198.4,51.7,252.7,23.6,36.9,1.1,1.5,77.8,-7.4,-2.3,1
119.6,135.2,221.3,226.0,21.3,24.1,1.9,1.9,70.0,-1.5,-2.8,145.2,184.7,218.9,202.6,19.3,28.7,1.7,1.6,80.0,-10.3,-2.1,0
203.2,93.5,347.8,332.0,47.7,23.0,1.2,1.8,70.0,22.6,10.9,121.7,127.0,240.8,185.7,25.7,19.2,1.5,1.2,50.0,9.8,3.7,1
103.4,103.0,244.8,134.0,23.0,15.0,2.6,2.2,30.0,4.2,-1.9,104.0,126.3,206.0,157.0,25.5,9.0,1.3,2.8,50.0,9.5,0.0,0
0.0,0.0,0.0,0.0,39.1,22.0,0.3,0.7,30.0,15.7,4.1,0.0,0.0,0.0,0.0,18.4,39.7,0.4,0.8,80.0,-17.8,-4.8,1
116.7,136.6,406.6,278.4,45.6,27.1,2.0,1.7,70.0,10.8,-0.4,111.3,194.5,134.3,222.9,11.3,33.3,1.9,1.5,50.0,-17.8,-5.8,1
146.0,208.0,134.0,330.0,14.0,66.0,4.0,0.0,50.0,-15.4,-14.1,144.0,43.0,310.0,323.0,49.0,21.0,0.0,5.0,40.0,-0.5,-17.9,0
96.0,164.0,229.0,216.0,20.0,27.0,1.0,2.0,80.0,5.5,-3.6,123.0,-5.0,303.0,229.0,30.0,6.0,0.0,2.0,90.0,5.1,-19.0,0
191.5,113.0,237.0,158.0,23.5,13.0,2.5,1.5,55.6,7.4,-5.5,327.5,143.0,126.5,209.5,43.5,20.0,1.0,2.0,88.9,20.3,9.0,0
181.4,125.8,250.6,146.5,36.0,19.9,1.0,1.8,50.0,11.3,-0.5,149.9,121.0,192.1,224.4,28.8,22.2,2.0,2.8,70.0,3.4,-2.1,1
274.3,114.5,179.7,246.1,38.3,25.3,2.5,2.2,90.0,12.6,4.5,169.4,130.9,230.8,154.6,39.1,19.1,1.3,2.2,70.0,12.3,1.9,1
210.6,123.4,287.6,161.9,36.9,18.4,1.9,2.0,44.4,20.9,6.0,160.3,202.3,190.2,223.3,20.9,27.0,1.4,1.7,33.3,-1.2,2.5,0
173.0,122.0,242.7,222.3,29.0,21.7,2.0,2.0,50.0,3.6,0.8,119.7,336.0,242.3,143.0,17.7,40.0,2.3,1.3,30.0,-10.9,0.6,0
